Page Name,Beginning Of Interval,Page Likes,Page Like Growth,Followers,Follower Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Interactions Per Post,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate
Cricket on Facebook,2023-10-06 10:53:11.752577320,18745278,-0.04%,18943240,-0.03%,17,3346,-27.31%,0%,196.82,307,104,2935,2679,1,22,6,4,204,0,0,,0,0,,0,0,,17,3346,0.00%,0,0,
Facebook,2023-10-12 02:21:01.855670104,180597747,0.67%,180904311,0.67%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook 360,2023-10-17 17:48:51.958762888,3407447,-0.09%,3481615,-0.17%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-10-23 09:16:42.061855672,180597680,0.67%,180606850,0.67%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook for Creators,2023-10-29 00:44:32.164948456,1217849,0.88%,1276293,0.82%,10,12339,138.11%,0.10%,"1,233.90",2165,434,9740,7551,4,20,25,5,1971,9,10441,0.10%,0,0,,0,0,,1,1898,0.16%,0,0,
Facebook Community,2023-11-03 16:12:22.268041240,462926,0.20%,591543,0.09%,1,1051,0%,0.18%,"1,051",637,74,340,258,0,2,2,2,70,0,0,,0,0,,0,0,,1,1051,0.23%,0,0,
Facebook Marketing Expert Reminder,2023-11-09 07:40:12.371134016,43303,5.74%,46666,5.46%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-11-14 23:08:02.474226800,181893496,0.72%,182199738,0.72%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Community,2023-11-20 14:35:52.577319584,463860,0.20%,592011,0.08%,2,920,-12.46%,0.08%,460,280,37,603,487,4,4,3,0,92,0,0,,0,0,,1,604,0.13%,1,316,0.07%,0,0,
Facebook for Creators,2023-11-26 06:03:42.680412368,1239336,1.76%,1297393,1.65%,2,5209,-57.78%,0.20%,"2,604.50",1134,322,3753,2735,0,4,17,2,959,1,2954,0.24%,0,0,,0,0,,1,2255,0.18%,0,0,
Cricket on Facebook,2023-12-01 21:31:32.783505152,18736677,-0.05%,18934139,-0.05%,5,5784,72.86%,0.01%,"1,156.80",429,829,4526,3762,1,5,51,6,670,0,0,,0,0,,0,0,,4,5650,0.01%,1,134,7.15E-06
Facebook,2023-12-07 12:59:22.886597936,181892849,0.72%,182462418,0.72%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-12-13 04:27:12.989690720,181895613,0.72%,181896271,0.72%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-12-18 19:55:03.092783504,181894477,0.72%,186709270,0.79%,0,0,-100%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Security,2023-12-24 11:22:53.195876288,9013941,0.05%,9132077,0.12%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketplace Community,2023-12-30 02:50:43.298969072,19697320,0.49%,22147897,0.43%,12,10201,-15.99%,0%,850.08,2739,315,7147,6544,9,34,14,0,504,6,5595,0.00%,0,0,,0,0,,6,4606,0.00%,0,0,
Facebook Gaming,2024-01-04 18:18:33.402061856,10643642,-0.02%,12934823,0.01%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook 360,2024-01-10 09:46:23.505154640,3404329,-0.09%,3475678,-0.17%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-01-16 01:14:13.608247424,181895229,0.72%,181904490,0.72%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-01-21 16:42:03.711340208,181894051,0.72%,182055536,0.71%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Public Affairs,2024-01-27 08:09:53.814432992,8580,7.97%,12014,9.36%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-02-01 23:37:43.917525776,183002209,0.61%,187928839,0.65%,1,16058,0%,0.01%,"16,058",3694,573,11791,9667,65,116,114,29,1609,1,16058,0.01%,0,0,,0,0,,0,0,,0,0,
Facebook Marketing Expert Reminder,2024-02-07 15:05:34.020618560,46459,7.29%,49851,6.83%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Cricket on Facebook,2024-02-13 06:33:24.123711336,18732223,-0.02%,18929561,-0.02%,3,636,-89%,0%,212,156,24,456,418,0,2,0,0,30,0,0,,0,0,,0,0,,1,381,0.00%,2,255,6.78E-06
Facebook Security,2024-02-18 22:01:14.226804120,9023029,0.10%,9148424,0.18%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook 360,2024-02-24 13:29:04.329896904,3402812,-0.04%,3471556,-0.12%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-03-01 04:56:54.432989688,183003071,0.61%,183012444,0.61%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-03-06 20:24:44.536082472,183001158,0.61%,183002340,0.61%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-03-12 11:52:34.639175256,183000578,0.61%,183570506,0.61%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-03-18 03:20:24.742268040,182989811,0.60%,183151197,0.60%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Public Affairs,2024-03-23 18:48:14.845360824,9637,12.32%,13606,13.25%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Gaming,2024-03-29 10:16:04.948453608,10642187,-0.01%,12867799,-0.52%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Community,2024-04-04 01:43:55.051546392,465067,0.26%,592771,0.13%,5,1462,58.91%,0.05%,292.4,446,49,967,775,2,9,0,3,161,0,0,,0,0,,4,1175,0.06%,1,287,0.06%,0,0,
Facebook for Creators,2024-04-09 17:11:45.154639176,1260435,1.70%,1318521,1.63%,1,3009,-42.23%,0.23%,"3,009",722,0,2287,1642,0,1,5,0,605,0,0,,0,0,,1,3009,0.24%,0,0,,0,0,
Facebook,2024-04-15 08:39:35.257731952,183001176,0.61%,183307646,0.61%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketplace Community,2024-04-21 00:07:25.360824736,19706565,0.05%,22238223,0.41%,4,3346,-67.20%,0%,836.5,791,87,2468,2244,9,33,10,0,160,4,3346,0.00%,0,0,,0,0,,0,0,,0,0,
Facebook,2024-04-26 15:35:15.463917520,183143162,0.08%,183144388,0.08%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Public Affairs,2024-05-02 07:03:05.567010304,10969,13.82%,15843,16.44%,1,55,0%,0.35%,55,10,3,42,38,0,0,0,0,3,0,0,,0,0,,0,0,,1,55,0.50%,0,0,
Facebook 360,2024-05-07 22:30:55.670103088,3401113,-0.05%,3466851,-0.14%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Gaming,2024-05-13 13:58:45.773195872,10641952,0%,12863308,-0.03%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-05-19 05:26:35.876288656,183149852,0.09%,183311495,0.09%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketing Expert Reminder,2024-05-24 20:54:25.979381440,49180,5.86%,52667,5.65%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Community,2024-05-30 12:22:16.082474224,466625,0.34%,593793,0.17%,4,1346,-7.93%,0.06%,336.5,602,24,720,585,4,0,0,0,124,0,0,,0,0,,4,1346,0.07%,0,0,,0,0,
Facebook,2024-06-05 03:50:06.185567008,183143514,0.08%,183152925,0.08%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketplace Community,2024-06-10 19:17:56.288659792,19704056,-0.01%,22341563,0.46%,0,0,-100%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Cricket on Facebook,2024-06-16 10:45:46.391752576,18725969,-0.03%,18899783,-0.16%,1,160,-74.84%,0%,160,31,8,121,109,0,0,0,0,12,0,0,,0,0,,0,0,,0,0,,1,160,8.54E-06
Facebook,2024-06-22 02:13:36.494845360,183149856,0.08%,183456139,0.08%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook for Creators,2024-06-27 17:41:26.597938144,1333877,5.83%,1391520,5.54%,12,164087,5353.21%,0.98%,"13,673.92",68336,6066,89685,52118,75,111,360,78,34755,2,23132,0.87%,0,0,,2,4904,0.18%,7,52279,0.56%,1,83772,6.28%
Facebook Security,2024-07-03 09:09:16.701030928,9030134,0.08%,9139310,-0.10%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-07-09 00:37:06.804123712,183125233,0.07%,183715675,0.08%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-07-14 16:04:56.907216496,183143302,0.08%,188207385,0.15%,3,54940,242.13%,0.01%,"18,313.33",14809,2180,37951,30248,243,2786,275,146,3697,2,29301,0.01%,0,0,,1,25639,0.01%,0,0,,0,0,
Facebook Marketplace Community,2024-07-20 07:32:47.010309280,19701463,-0.01%,22438114,0.43%,6,5402,0%,0%,900.33,1172,266,3964,3524,6,14,14,4,374,6,5402,0.00%,0,0,,0,0,,0,0,,0,0,
Facebook Gaming,2024-07-25 23:00:37.113402064,10639855,-0.02%,12859581,-0.03%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Security,2024-07-31 14:28:27.216494848,9032633,0.03%,9143121,0.04%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Public Affairs,2024-08-06 05:56:17.319587632,12414,13.17%,17994,13.58%,1,37,-32.73%,0.21%,37,7,6,24,20,1,0,0,0,3,0,0,,0,0,,0,0,,1,37,0.30%,0,0,
Facebook,2024-08-11 21:24:07.422680416,183142017,0%,188338220,0.07%,2,199661,263.42%,0.05%,"99,830.50",38568,6137,154956,96405,720,45383,1647,445,9234,0,0,,0,0,,2,199661,0.05%,0,0,,0,0,
Facebook 360,2024-08-17 12:51:57.525773200,3398749,-0.07%,3464382,-0.07%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-08-23 04:19:47.628865984,183142017,0%,183160888,0.01%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Community,2024-08-28 19:47:37.731958768,467883,0.27%,595732,0.33%,7,1503,11.66%,0.04%,214.71,519,11,973,788,6,3,0,0,161,0,0,,0,0,,7,1503,0.05%,0,0,,0,0,
Facebook,2024-09-03 11:15:27.835051552,183151133,0%,183313072,0%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketing Expert Reminder,2024-09-09 02:43:17.938144336,51582,4.88%,55228,4.86%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Cricket on Facebook,2024-09-14 18:11:08.041237120,18716891,-0.05%,18881536,-0.10%,3,630,293.75%,0%,210,28,20,582,537,1,1,0,0,43,0,0,,0,0,,0,0,,3,630,0.00%,0,0,
Facebook,2024-09-20 09:38:58.144329888,183142017,0%,183529803,0.04%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook for Creators,2024-09-26 01:06:48.247422672,1373838,3%,1449312,4.15%,5,59071,-64%,0.82%,"11,814.20",26831,2204,30036,17865,11,37,132,11,11171,3,11803,0.29%,0,0,,0,0,,1,5183,0.38%,1,42085,3.06%
Facebook,2024-10-01 16:34:38.350515456,183154470,0.01%,183163900,0.01%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-10-07 08:02:28.453608240,183142017,0.01%,183717527,0%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-10-12 23:30:18.556701024,183201441,0.03%,183363427,0.03%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Gaming,2024-10-18 14:58:08.659793808,10639581,0%,12859150,0%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-10-24 06:25:58.762886592,183192650,0.03%,183769098,0.03%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-10-29 21:53:48.865979376,183198666,0.03%,183217666,0.03%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Security,2024-11-04 13:21:38.969072160,9033868,0.01%,9145237,0.02%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketplace Community,2024-11-10 04:49:29.072164944,19701062,0%,22462831,0.11%,1,631,-88.32%,0%,631,156,17,458,417,0,2,2,0,33,1,631,0.00%,0,0,,0,0,,0,0,,0,0,
Facebook Public Affairs,2024-11-15 20:17:19.175257728,13396,7.91%,19216,6.79%,0,0,-100%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-11-21 11:45:09.278350512,183198666,0.03%,188427457,0.05%,0,0,-100%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook for Creators,2024-11-27 03:12:59.381443296,1383397,0.70%,1460622,0.78%,0,0,-100%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Community,2024-12-02 18:40:49.484536080,468275,0.08%,596062,0.06%,0,0,-100%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-12-08 10:08:39.587628864,183198666,0.03%,183586372,0.03%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketing Expert Reminder,2024-12-14 01:36:29.690721648,52374,1.54%,56161,1.69%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Cricket on Facebook,2024-12-19 17:04:19.793814432,18714613,-0.01%,18877590,-0.02%,0,0,-100%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook 360,2024-12-25 08:32:09.896907216,3398102,-0.02%,3463333,-0.03%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2024-12-31 00:00:00.000000000,183198666,0.02%,183208092,0.02%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
