Page Name,Beginning Of Interval,Page Likes,Page Like Growth,Followers,Follower Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Interactions Per Post,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate
Facebook 360,2022-06-02 09:31:32.783505154,3412371,0.07%,3513214,0.06%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2022-06-08 00:59:22.886597938,176514197,-0.84%,180843429,-0.81%,0,0,-100%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Community,2022-06-13 16:27:12.989690722,456143,0.49%,588983,0.22%,5,2422,-29.70%,0.08%,484.4,713,98,1611,1247,1,10,11,1,284,2,1477,0.16%,0,0,,0,0,,3,945,0.07%,0,0,
Facebook for Creators,2022-06-19 07:55:03.092783504,753352,22.41%,827630,16.02%,5,12248,78.20%,0.30%,"2,449.60",3055,788,8405,6917,27,49,98,6,1196,3,9754,0.43%,0,0,,0,0,,2,2494,0.17%,0,0,
Facebook,2022-06-24 23:22:53.195876288,177748527,0.70%,178057148,0.70%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2022-06-30 14:50:43.298969072,177747240,0.70%,178305542,0.70%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook 360,2022-07-06 06:18:33.402061856,3417007,0.14%,3517468,0.12%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Cricket on Facebook,2022-07-11 21:46:23.505154640,18831134,0.05%,19024068,0.06%,2,548,-83.02%,0%,274,76,35,437,421,1,0,0,0,13,0,0,,0,0,,0,0,,0,0,,2,548,0.00%
Facebook,2022-07-17 13:14:13.608247422,177746774,0.70%,177746928,0.70%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2022-07-23 04:42:03.711340206,177747248,0.70%,177756066,0.70%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Public Affairs,2022-07-28 20:09:53.814432988,7653,5.57%,10115,8.07%,1,78,-80%,0.77%,78,19,8,51,36,1,3,2,0,4,0,0,,0,0,,0,0,,1,78,1.02%,0,0,
Facebook Community,2022-08-03 11:37:43.917525772,458747,0.57%,590409,0.24%,8,3412,40.88%,0.07%,426.5,1139,109,2164,1555,2,7,12,3,482,3,1303,0.09%,1,983,0.21%,0,0,,4,1126,0.06%,0,0,
Facebook Marketing Expert Reminder,2022-08-09 03:05:34.020618556,35472,2%,38380,1.89%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Security,2022-08-14 18:33:24.123711340,9062384,0.06%,9165484,0.07%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Gaming,2022-08-20 10:01:14.226804124,10672661,0.23%,12923949,0.36%,81,47706,268.30%,0%,588.96,8705,2912,36089,27895,116,3634,164,64,3856,63,28590,0.00%,0,0,,3,260,8.06E-06,1,454,0.00%,14,18402,0.01%
Facebook,2022-08-26 01:29:04.329896908,177746923,0.70%,182103412,0.70%,4,40865,0%,0.01%,"10,216.25",10122,1071,29672,26022,170,437,90,39,2630,1,9246,0.01%,1,8834,0.00%,0,0,,2,22785,0.01%,0,0,
Facebook Marketplace Community,2022-08-31 16:56:54.432989692,19215804,0.43%,21638497,0.42%,10,15646,21.50%,0.01%,"1,564.60",2521,665,12460,11257,15,30,77,7,1020,8,13477,0.01%,0,0,,0,0,,2,2169,0.01%,0,0,
Facebook,2022-09-06 08:24:44.536082472,177746744,0.70%,177907906,0.70%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2022-09-11 23:52:34.639175256,177647912,-0.06%,177844808,-0.04%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Community,2022-09-17 15:20:24.742268040,460009,0.28%,590797,0.07%,14,13432,293.67%,0.16%,959.43,6079,519,6834,4586,16,19,44,5,1984,3,1117,0.08%,1,637,0.14%,0,0,,9,3324,0.08%,1,8354,1.82%
Facebook for Creators,2022-09-23 06:48:14.845360824,979583,30.03%,1040568,25.73%,8,19776,61.46%,0.24%,"2,472",5568,646,13562,11190,20,29,56,10,2112,4,10655,0.27%,0,0,,0,0,,4,9121,0.23%,0,0,
Facebook,2022-09-28 22:16:04.948453608,177672195,-0.04%,177992085,-0.04%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Gaming,2022-10-04 13:43:55.051546392,10645360,-0.26%,12907401,-0.13%,27,6197,-87.01%,0%,229.52,628,301,5268,4630,6,48,31,2,491,20,3706,0.00%,2,582,0.00%,0,0,,3,1589,0.00%,2,320,0.00%
Facebook Marketplace Community,2022-10-10 05:11:45.154639176,19296581,0.42%,21726313,0.41%,12,10428,-33.35%,0%,869,2042,580,7806,7206,8,48,32,5,492,3,2970,0.01%,0,0,,0,0,,9,7458,0.00%,0,0,
Facebook Public Affairs,2022-10-15 20:39:35.257731960,7633,-0.26%,10223,1.07%,3,277,255.13%,0.90%,92.33,86,19,172,149,3,4,2,0,13,0,0,,0,0,,0,0,,3,277,1.21%,0,0,
Cricket on Facebook,2022-10-21 12:07:25.360824744,18774506,-0.30%,18968193,-0.29%,5,1941,254.20%,0%,388.2,120,110,1711,1435,2,9,145,0,115,0,0,,0,0,,0,0,,5,1941,0.00%,0,0,
Facebook 360,2022-10-27 03:35:15.463917524,3416259,-0.02%,3516222,-0.04%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2022-11-01 19:03:05.567010308,177694943,-0.03%,177703735,-0.03%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2022-11-07 10:30:55.670103092,177695342,-0.03%,182082164,-0.01%,12,217131,431.34%,0.01%,"18,094.25",84153,11280,121698,97497,1559,2108,383,222,18433,2,16067,0.00%,1,7393,0.00%,0,0,,7,74627,0.01%,2,119044,0.03%
Facebook,2022-11-13 01:58:45.773195876,177694944,-0.03%,178255542,-0.03%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2022-11-18 17:26:35.876288660,177647918,-0.06%,177648067,-0.06%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Security,2022-11-24 08:54:25.979381444,9010510,-0.57%,9114456,-0.56%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketing Expert Reminder,2022-11-30 00:22:16.082474228,36191,2.03%,39119,1.93%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Cricket on Facebook,2022-12-05 15:50:06.185567008,18775199,0%,18970976,0.01%,5,4875,151.16%,0.01%,975,243,291,4341,3784,0,182,31,0,326,0,0,,0,0,,0,0,,5,4875,0.01%,0,0,
